id;job_title;min_salary;max_salary
c8a9f2d3-4e3f-4724-9a52-db1f0f8f7563;Regional Solutions Coordinator;21373;32443
4e5ebec9-1f7c-419f-9861-1d575773fce7;National Communications Supervisor;93257;98002
91911284-b40e-48d3-a0e8-91a185c7a28d;Product Functionality Facilitator;26205;80235
10051dc6-706d-434a-89e1-170b85c22fda;Dynamic Research Technician;57318;64828
eae5e427-304b-4022-b0b7-83c4b63ab01b;Internal Paradigm Supervisor;6786;45709
ae5a3e3f-9c21-4901-ba40-3c09caec627e;Internal Brand Architect;96057;3067
73849273-6d6e-4255-860e-b3987eceb9a2;Direct Mobility Facilitator;28109;23587
a7326016-3b01-4158-a386-3431cf953c74;Legacy Creative Supervisor;69503;66126
f97cacd8-dfbf-47fd-845e-5388f393f38c;Investor Implementation Director;97050;68546
1b74905e-5a8e-4651-8b15-b6f9bb5bd6b1;Product Accounts Technician;65786;8025
