id;department_name
33f7bcbb-bd40-4698-9405-6d34c452ae03;Representative
60286931-9fc8-44df-9881-693835508c40;channels Granite Concrete
0e090459-a3ef-419c-b9d1-61a6c5219b1f;Lake program
0613eae1-c989-4928-b258-41f9a9c54a9f;Dram
bdb7d1ec-762d-4a62-bb34-1a5d352bfa88;24/7 Fresh
398461c5-b34a-4972-8b2a-10b4862a86e1;programming
bcd2c2a8-e91e-48a9-8bd5-b85fe6c9fc89;Designer solid
3d291a1e-6a86-4b21-b88e-c54e4ec75624;deposit Expanded firmware
ab5695c9-3283-4b92-a23f-02dbdc48b770;Practical transition
9e9d0dbb-a45f-4e63-86c7-221fcdcba439;Marketing Personal eyeballs
