id;job_title;min_salary;max_salary
cafd4374-a2bf-4ff5-9303-45bc171f81d7;Dynamic Data Architect;20056;30558
9918b083-0811-4572-9d34-101c763a917b;Corporate Usability Technician;4356;18782
eee23402-0734-46a0-ab41-a5339291a0c9;Forward Marketing Agent;2624;31476
78976625-6e38-4ee9-b2b4-a36130183641;Product Mobility Specialist;26693;22774
f7addb7d-4e38-4333-ac3f-17955861b569;International Group Associate;25225;21556
09496de3-9e35-44ac-a445-52191745c028;Senior Program Associate;23140;26691
39059365-ec73-4860-847a-82e3d1213161;Senior Interactions Engineer;3529;935
0042a67f-af21-4bc7-b4a6-b38e88321dac;Future Directives Associate;6611;27754
43e60ec3-3ff2-415f-9ce7-d4172d6e708c;Internal Integration Assistant;15995;21742
4de9a18e-0833-47df-a0c8-fd5e27731a15;Lead Interactions Specialist;7097;7304
