id;start_date;end_date;language
d2c1a9ab-a338-4f0f-9e0f-276a0b5dbcd7;2026-03-29T18:14:55;2026-03-30T03:01:08;SPANISH
a5187520-0520-4124-83ea-4c6c6dcfe7f4;2026-03-30T07:01:41;2026-03-30T01:19:05;ENGLISH
6c9fe02f-f7a5-4eb5-94f6-b392a7466b2f;2026-03-29T12:20:02;2026-03-29T09:41:27;ENGLISH
3c8cf426-747d-4627-938c-f8825506a56c;2026-03-29T19:59:22;2026-03-30T07:31:50;ENGLISH
78a35c90-c905-4e35-b7dc-8f169a15048c;2026-03-29T15:01:48;2026-03-29T20:58:12;ENGLISH
43c33859-15bc-433e-a6b6-25fef6f0f00c;2026-03-29T12:26:01;2026-03-29T22:55:16;ENGLISH
faf8a543-ed98-4837-8457-d3c403ddb2fe;2026-03-29T20:32:10;2026-03-29T18:57:44;FRENCH
b32f8957-9677-4fe0-9d49-116209851b4b;2026-03-29T18:51:07;2026-03-30T01:27:56;SPANISH
e34a03ae-c63e-4edf-9a7c-9439d029bd3e;2026-03-30T09:11:11;2026-03-29T14:05:57;ENGLISH
fc801ddd-6ab8-4f49-a3cf-d0a11f962793;2026-03-30T04:14:40;2026-03-30T01:21:06;FRENCH
164a655b-0095-4d86-a237-b980bd6d42fe;2026-03-30T04:48:59;2026-03-29T20:08:42;FRENCH
bd55ef7a-b41f-4cbd-9655-ceacd86235a0;2026-03-29T22:45:50;2026-03-30T09:04:07;FRENCH
fda3b764-3704-488e-ad5e-6cd21e9eb158;2026-03-30T07:16:15;2026-03-29T22:22:18;SPANISH
a2ae6bbf-32c2-4a9e-8c17-7fafb8d1d620;2026-03-30T02:39:14;2026-03-30T09:08:47;ENGLISH
6c402748-c92d-4236-b7c8-a78514109645;2026-03-30T07:10:06;2026-03-30T00:32:36;ENGLISH
685dcf77-faa0-4067-85ad-4fba2df82320;2026-03-30T05:37:19;2026-03-29T23:03:44;FRENCH
dda702a9-ad0a-4afa-9460-1a37d00e651f;2026-03-29T17:50:01;2026-03-29T15:17:53;SPANISH
5d807ffe-ca13-4a1b-9d06-00e7c8cbc0a3;2026-03-30T07:57:38;2026-03-30T06:54:39;ENGLISH
a9507a9b-2fcb-49b8-bea7-f58df5ef874d;2026-03-29T22:04:47;2026-03-29T11:58:10;SPANISH
e5952f22-dce6-41e0-9c53-3a99cdb2b7cb;2026-03-29T23:22:00;2026-03-30T07:01:07;SPANISH
5445fc7f-1848-45c3-b548-cfe2a7bbdf95;2026-03-30T08:19:02;2026-03-29T13:13:26;ENGLISH
4354d055-e56a-49fe-aaf2-1904c8692370;2026-03-29T21:13:26;2026-03-30T06:39:38;ENGLISH
e6c9b120-186d-4bf7-ae6f-66530fb0e3ed;2026-03-29T14:27:59;2026-03-29T11:38:24;FRENCH
158d75d5-50c1-44c7-9d86-08c0a471c109;2026-03-29T13:00:54;2026-03-30T01:59:44;ENGLISH
1188e80f-3e1f-4763-81bc-22ffcde794f5;2026-03-29T14:49:04;2026-03-30T04:24:30;SPANISH
a908e925-2d63-46b5-a821-ca95f5386291;2026-03-29T21:40:46;2026-03-30T00:46:31;FRENCH
49318147-df9f-458e-974e-e11b74cf12e1;2026-03-29T14:21:51;2026-03-29T18:25:31;SPANISH
18d54c60-746d-4d02-8ace-9823ee87db4e;2026-03-29T16:25:30;2026-03-29T17:19:55;FRENCH
201c270f-6d23-4b2c-9f7f-4c4623a82f23;2026-03-29T19:17:14;2026-03-29T15:09:05;ENGLISH
f2cb8e87-5644-44b6-ba16-dde97b5a15f8;2026-03-30T02:10:18;2026-03-29T17:35:14;FRENCH
