id;title;description
48eaa9e3-2717-4c72-a108-73f77f7787b1;punctual anti pfft;but overcook
7eaf871d-3224-4aaa-9a6a-92510d8f307a;pave rebuke;ouch
692c577b-4113-4f6d-ae6f-a2b3e5fc668d;concerning;incidentally
d3c952d1-fb71-454f-b5f9-901de37a0139;some pace that;hence
137a42cd-65f4-4f7b-92b8-f9746dc35bf8;mockingly;graduate complication
28a53988-14dc-44bb-b014-9233ec56cb91;kindheartedly through granny;fortunately
1e08e050-0793-4961-8cb6-f4c6a79b6545;yahoo excepting;uh-huh
9f172588-d787-48e1-b668-375baf373991;collectivization;steeple opposite
f255fbe9-9567-425c-a22e-cfd78e6a653a;deer event shocked;uh-huh
fcf6e780-e56d-43c5-85eb-156ddb70e5e8;around splosh;afraid mooch
